년월,홍천군,홍천읍,화촌면,두촌면,내촌면,서석면,영귀미면,남면,서면,북방면,내면,타지역,입국자
2020년 1월,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년 2월,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년 3월,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년 4월,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년 5월,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년 6월,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년 7월,0,0,0,0,0,0,0,0,0,0,0,0,0
2020년 8월,6,0,0,0,0,5,0,1,0,0,0,0,0
2020년 9월,5,3,0,0,0,2,0,0,0,0,0,0,0
2020년 10월,14,9,0,0,0,0,0,0,2,1,0,2,0
2020년 11월,26,16,2,0,0,0,3,1,0,2,0,2,0
2020년 12월,25,9,1,2,0,0,1,8,1,2,0,1,0
2021년 1월,43,2,0,0,0,0,1,1,0,0,0,39,0
2021년 2월,8,5,1,0,0,0,0,1,0,0,0,1,0
2021년 3월,24,8,1,0,1,0,0,7,2,2,0,3,0
2021년 4월,21,12,0,0,1,0,1,0,1,4,0,2,0
2021년 5월,35,18,2,1,0,0,1,7,0,3,0,3,0
2021년 6월,25,7,1,0,0,0,0,4,0,0,0,1,12
2021년 7월,56,11,1,1,0,0,3,3,1,2,0,18,16
2021년 8월,8,2,0,0,2,0,1,3,0,0,0,0,0
