월별,확진자수,사망자수,데이터기준일자
2020-02,26,0,2022-01-25
2020-03,25,0,2022-01-25
2020-04,1,0,2022-01-25
2020-05,0,0,2022-01-25
2020-06,1,0,2022-01-25
2020-07,1,0,2022-01-25
2020-08,7,0,2022-01-25
2020-09,39,2,2022-01-25
2020-10,8,0,2022-01-25
2020-11,8,0,2022-01-25
2020-12,133,1,2022-01-25
2021-01,192,0,2022-01-25
2021-02,41,0,2022-01-25
2021-03,40,2,2022-01-25
2021-04,50,0,2022-01-25
2021-05,61,0,2022-01-25
2021-06,55,0,2022-01-25
2021-07,86,0,2022-01-25
2021-08,355,0,2022-01-25
2021-09,218,0,2022-01-25
2021-10,78,0,2022-01-25
2021-11,140,0,2022-01-25
2021-12,928,7,2022-01-25
