矫焙备,惯积楷岿,犬柳磊 荐(疙),荤噶磊 荐(疙),穿利 犬柳磊 荐(疙),穿利 荤噶磊 荐(疙)
措备堡开矫 合备,2020-02,345,1,345,1
措备堡开矫 合备,2020-03,437,9,782,10
措备堡开矫 合备,2020-04,10,6,792,16
措备堡开矫 合备,2020-05,2,2,794,18
措备堡开矫 合备,2020-06,8,1,802,19
措备堡开矫 合备,2020-07,4,0,806,19
措备堡开矫 合备,2020-08,9,0,815,19
措备堡开矫 合备,2020-09,7,0,822,19
措备堡开矫 合备,2020-10,11,0,833,19
措备堡开矫 合备,2020-11,8,0,841,19
措备堡开矫 合备,2020-12,73,1,914,20
措备堡开矫 合备,2021-01,57,0,971,20
措备堡开矫 合备,2021-02,115,1,1086,21
措备堡开矫 合备,2021-03,47,3,1133,24
措备堡开矫 合备,2021-04,51,1,1184,25
措备堡开矫 合备,2021-05,79,3,1263,28
措备堡开矫 合备,2021-06,105,0,1368,28
措备堡开矫 合备,2021-07,222,0,1590,28
措备堡开矫 合备,2021-08,343,0,1933,28
措备堡开矫 合备,2021-09,261,1,2194,29
措备堡开矫 合备,2021-10,243,3,2437,32
措备堡开矫 合备,2021-11,420,10,2857,42
措备堡开矫 合备,2021-12,729,0,3586,42
措备堡开矫 合备,2022-01,1723,5,5309,47
