구분,기관명,발생연도,월별,확진자수,사망자수,데이터기준일
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,01,0,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,02,2,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,03,0,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,04,1,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,05,0,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,06,2,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,07,3,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,08,12,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,09,16,1,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,10,3,1,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,11,2,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2020,12,41,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,01,22,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,02,5,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,03,14,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,04,98,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,05,56,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,06,89,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,07,182,1,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,08,169,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,09,155,,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,10,35,2,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,11,111,3,2022-02-08
코로나19 확진자 및 사망자,대전광역시 대덕구,2021,12,434,7,2022-02-08
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
