확진일자,확진인원
2020-03-19,2
2020-05-26,1
2020-06-13,1
2020-08-14,2
2020-08-15,2
2020-08-16,1
2020-08-17,2
2020-08-19,1
2020-08-23,1
2020-08-28,2
2020-09-01,1
2020-10-29,1
2020-11-16,1
2020-11-23,1
2020-11-28,1
2020-12-06,1
2020-12-07,1
2020-12-09,1
2020-12-11,2
2020-12-14,3
2020-12-15,5
2020-12-16,2
2020-12-17,1
2020-12-18,6
2020-12-19,2
2020-12-20,4
2020-12-21,1
2020-12-24,2
2020-12-28,1
2020-12-29,1
2021-01-02,1
2021-01-05,3
2021-01-10,2
2021-01-12,1
2021-01-14,1
2021-02-17,3
2021-02-28,1
2021-03-01,1
2021-03-11,5
2021-03-18,1
2021-03-20,1
2021-03-28,1
2021-04-03,1
2021-04-07,1
2021-04-08,2
2021-04-09,1
2021-04-21,1
2021-04-23,1
2021-04-24,1
2021-04-28,1
2021-05-07,1
2021-05-15,1
2021-05-18,1
2021-05-27,1
2021-06-06,1
2021-06-12,2
2021-07-06,1
2021-07-07,1
2021-07-10,1
2021-07-12,1
2021-07-13,1
2021-07-15,1
2021-07-16,1
2021-07-18,2
2021-07-19,2
2021-07-20,1
2021-07-21,5
2021-07-22,7
2021-07-23,1
2021-07-26,2
2021-07-27,1
2021-07-28,2
2021-07-29,2
