해당년월,확진자 수,사망자,데이터기준일
2020-01-01,0,0,2021-12-31
2020-02-01,1,0,2021-12-31
2020-03-01,2,0,2021-12-31
2020-04-01,0,0,2021-12-31
2020-05-01,0,0,2021-12-31
2020-06-01,0,0,2021-12-31
2020-07-01,3,0,2021-12-31
2020-08-01,1,0,2021-12-31
2020-09-01,4,0,2021-12-31
2020-10-01,1,0,2021-12-31
2020-11-01,15,0,2021-12-31
2020-12-01,12,0,2021-12-31
2021-01-01,5,0,2021-12-31
2021-02-01,14,0,2021-12-31
2021-03-01,11,0,2021-12-31
2021-04-01,8,0,2021-12-31
2021-05-01,132,3,2021-12-31
2021-06-01,11,0,2021-12-31
2021-07-01,159,0,2021-12-31
2021-08-01,137,0,2021-12-31
2021-09-01,86,0,2021-12-31
2021-10-01,58,0,2021-12-31
2021-11-01,148,1,2021-12-31
2021-12-01,235,0,2021-12-31
