연번,시도,시군구,년,월,확진자 수(명) ,사망자 수(명),데이터기준일자
1,전라남도,완도군,2020년,1월,0,0,2022-02-07
2,전라남도,완도군,2020년,2월,0,0,2022-02-07
3,전라남도,완도군,2020년,3월,0,0,2022-02-07
4,전라남도,완도군,2020년,4월,0,0,2022-02-07
5,전라남도,완도군,2020년,5월,0,0,2022-02-07
6,전라남도,완도군,2020년,6월,0,0,2022-02-07
7,전라남도,완도군,2020년,7월,0,0,2022-02-07
8,전라남도,완도군,2020년,8월,2,1,2022-02-07
9,전라남도,완도군,2020년,9월,0,0,2022-02-07
10,전라남도,완도군,2020년,10월,0,0,2022-02-07
11,전라남도,완도군,2020년,11월,0,0,2022-02-07
12,전라남도,완도군,2020년,12월,1,0,2022-02-07
13,전라남도,완도군,2021년,1월,0,0,2022-02-07
14,전라남도,완도군,2021년,2월,7,0,2022-02-07
15,전라남도,완도군,2021년,3월,0,0,2022-02-07
16,전라남도,완도군,2021년,4월,2,0,2022-02-07
17,전라남도,완도군,2021년,5월,1,0,2022-02-07
18,전라남도,완도군,2021년,6월,0,0,2022-02-07
19,전라남도,완도군,2021년,7월,55,0,2022-02-07
20,전라남도,완도군,2021년,8월,8,0,2022-02-07
21,전라남도,완도군,2021년,9월,7,0,2022-02-07
22,전라남도,완도군,2021년,10월,20,0,2022-02-07
23,전라남도,완도군,2021년,11월,15,0,2022-02-07
24,전라남도,완도군,2021년,12월,39,0,2022-02-07
