시도명,시군구명,발생연도,발생월,확진자 수(명),사망자 수(명),데이터기준일자
전라북도,전주시,2020,2,1,0,2022-02-07
전라북도,전주시,2020,3,5,0,2022-02-07
전라북도,전주시,2020,4,2,0,2022-02-07
전라북도,전주시,2020,5,0,0,2022-02-07
전라북도,전주시,2020,6,2,0,2022-02-07
전라북도,전주시,2020,7,0,0,2022-02-07
전라북도,전주시,2020,8,26,0,2022-02-07
전라북도,전주시,2020,9,13,0,2022-02-07
전라북도,전주시,2020,10,10,0,2022-02-07
전라북도,전주시,2020,11,34,1,2022-02-07
전라북도,전주시,2020,12,109,0,2022-02-07
전라북도,전주시,2021,1,37,1,2022-02-07
전라북도,전주시,2021,2,84,1,2022-02-07
전라북도,전주시,2021,3,161,0,2022-02-07
전라북도,전주시,2021,4,151,0,2022-02-07
전라북도,전주시,2021,5,54,0,2022-02-07
전라북도,전주시,2021,6,49,1,2022-02-07
전라북도,전주시,2021,7,105,1,2022-02-07
전라북도,전주시,2021,8,369,0,2022-02-07
전라북도,전주시,2021,9,458,1,2022-02-07
전라북도,전주시,2021,10,229,2,2022-02-07
전라북도,전주시,2021,11,374,4,2022-02-07
전라북도,전주시,2021,12,1225,6,2022-02-07
전라북도,전주시,2022,1,2393,6,2022-02-07
